>>>>>Begin Spectral Data<<<<<,W/m^2/nm
709.859,0.015748671
710.194,0.014722315
710.529,0.015670859
710.863,0.017655647
711.198,0.016959299
711.532,0.015700249
711.866,0.016775773
712.201,0.015657928
712.535,0.017411171
712.869,0.015232853
713.203,0.014847137
713.537,0.015865777
713.872,0.014684263
714.206,0.015480558
714.54,0.015319165
714.873,0.017221147
715.207,0.016647618
715.541,0.014645582
715.875,0.014245566
716.209,0.015749785
716.542,0.017676026
716.876,0.017634653
717.21,0.017051235
717.543,0.01782646
717.877,0.0177841
718.21,0.019513255
718.543,0.017740751
718.877,0.016390757
719.21,0.01888255
719.543,0.01765061
719.876,0.020954693
720.209,0.015809542
720.542,0.016595641
720.875,0.015634291
721.208,0.018232438
721.541,0.015762968
721.874,0.019275936
722.207,0.017773745
722.54,0.016624773
722.872,0.018090044
723.205,0.01669208
723.538,0.019714153
723.87,0.016084661
724.203,0.016950199
724.535,0.0162735
724.868,0.013596956
725.2,0.020076167
725.532,0.014776813
725.865,0.019482104
726.197,0.018100283
726.529,0.017036743
726.861,0.015584892
727.193,0.019255586
727.525,0.023142799
727.857,0.019712207
728.189,0.020426713
728.521,0.022810574
728.853,0.019609189
729.184,0.018527849
729.516,0.019042151
729.848,0.020534773
730.179,0.017374984
730.511,0.015950163
730.842,0.021992982
731.174,0.019204685
731.505,0.021423968
731.836,0.021242759
732.168,0.022291145
732.499,0.019612996
732.83,0.019026675
733.161,0.024703351
733.492,0.01697796
733.823,0.011721327
734.154,0.018238414
734.485,0.025248227
734.816,0.016036494
735.147,0.018910078
735.478,0.018441817
735.808,0.018509618
736.139,0.019319373
736.47,0.018035422
736.8,0.019460906
737.131,0.019460906
737.461,0.020623578
737.792,0.018303418
738.122,0.01905451
738.452,0.018161375
738.782,0.019535869
739.113,0.021261245
739.443,0.016571044
739.773,0.017738167
740.103,0.017662697
740.433,0.017801518
740.763,0.019537769
741.093,0.017446363
741.423,0.020027042
741.752,0.019607052
742.082,0.018131873
742.412,0.020450737
742.742,0.022141434
743.071,0.020946367
743.401,0.018039837
743.73,0.022944191
744.06,0.021520255
744.389,0.020737765
744.718,0.019948765
745.048,0.022463809
745.377,0.018065028
745.706,0.023407116
746.035,0.023342528
746.364,0.02385851
746.693,0.019351876
747.022,0.019709173
747.351,0.018751777
747.68,0.024836181
748.009,0.015437492
748.338,0.016373378
748.666,0.021530797
748.995,0.018498094
749.323,0.02211992
749.652,0.025976892
749.981,0.020259339
750.309,0.024507721
750.637,0.018446181
750.966,0.02294048
751.294,0.020761625
751.622,0.022790548
751.95,0.020444092
752.279,0.022108805
752.607,0.02202939
752.935,0.024385378
753.263,0.022019635
753.591,0.023317311
753.919,0.015089076
754.246,0.02146212
754.574,0.023697592
754.902,0.02128945
755.23,0.022291584
755.557,0.020956088
755.885,0.022903566
756.212,0.018984637
756.54,0.025019378
756.867,0.016423416
757.195,0.021538167
757.522,0.024779665
757.849,0.021764056
758.176,0.021035837
758.503,0.02669061
758.831,0.023249259
759.158,0.024927888
759.485,0.027261263
759.812,0.023787622
760.138,0.021103076
760.465,0.018076649
760.792,0.02677996
761.119,0.028574582
761.446,0.022017155
761.772,0.022413155
762.099,0.02281047
762.425,0.023966829
762.752,0.026191394
763.078,0.02368197
763.405,0.022582036
763.731,0.026169179
764.057,0.024060757
764.383,0.027672625
764.71,0.017945462
765.036,0.025799476
765.362,0.030126725
765.688,0.02151508
766.014,0.022090239
766.34,0.026443197
766.665,0.023250143
766.991,0.022627297
767.317,0.024941335
767.643,0.026998821
767.968,0.026202867
768.294,0.026626865
768.619,0.024664701
768.945,0.024911062
769.27,0.026927733
769.596,0.027433865
769.921,0.026975042
770.246,0.030987056
770.572,0.025039139
770.897,0.027273934
771.222,0.02970141
771.547,0.028043506
771.872,0.027572827
772.197,0.030391594
772.522,0.024302271
772.847,0.028978088
773.171,0.023756474
773.496,0.027910135
773.821,0.023883175
774.146,0.023072946
774.47,0.027715853
774.795,0.024388645
775.119,0.023567044
775.444,0.028387231
775.768,0.028726655
776.092,0.023489556
776.417,0.027213765
776.741,0.030841498
777.065,0.030220271
777.389,0.026586175
777.713,0.0290759
778.037,0.031787265
778.361,0.026922709
778.685,0.024671749
779.009,0.024135044
779.333,0.024655787
779.657,0.024716665
779.98,0.034521514
780.304,0.026582211
780.627,0.029155976
780.951,0.025346847
781.274,0.026700538
781.598,0.030467442
781.921,0.02730739
782.245,0.02861553
782.568,0.029792878
782.891,0.031324673
783.214,0.030843888
783.537,0.033858616
783.861,0.026144689
784.184,0.030428428
784.506,0.031273072
784.829,0.031770048
785.152,0.031207614
785.475,0.026540743
785.798,0.030855498
786.12,0.02660261
786.443,0.032844432
786.766,0.029435068
787.088,0.031353104
787.411,0.032707219
787.733,0.025018135
788.056,0.03121243
788.378,0.026574297
788.7,0.027858633
789.022,0.03278293
789.345,0.036292602
789.667,0.027922972
789.989,0.026482141
790.311,0.02755751
790.633,0.031716829
790.955,0.031716829
791.276,0.028914096
791.598,0.027684211
791.92,0.030129514
792.242,0.031645936
792.563,0.029547673
792.885,0.028244665
793.206,0.03113745
793.528,0.032735026
793.849,0.035351157
794.171,0.033027614
794.492,0.024066988
794.813,0.02762661
795.134,0.0298169
795.456,0.029884207
795.777,0.030391195
796.098,0.031341717
796.419,0.034429068
796.74,0.031191161
797.061,0.033475952
797.381,0.031996169
797.702,0.030288048
798.023,0.031470277
798.344,0.031986653
798.664,0.033700004
798.985,0.031749392
799.305,0.028211139
799.626,0.033696012
799.946,0.031731554
800.267,0.030893809
800.587,0.03528255
800.907,0.031323968
801.227,0.028644205
801.548,0.032377402
801.868,0.027908016
802.188,0.031893681
802.508,0.034117414
802.828,0.036591633
803.147,0.028734645
803.467,0.0237
803.787,0.029622211
804.107,0.027387592
804.426,0.034299833
804.746,0.034205259
805.066,0.039746697
805.385,0.029165695
805.705,0.030422582
806.024,0.028145402
806.343,0.028684494
806.663,0.037264333
806.982,0.031105143
807.301,0.038057243
807.62,0.031114004
807.939,0.035416695
808.258,0.031548598
808.577,0.039338645
808.896,0.037014
809.215,0.031368363
809.534,0.038810805
809.852,0.039466135
810.171,0.037351912
810.49,0.038258231
810.808,0.034086801
811.127,0.034219434
811.445,0.033071514
811.764,0.03782741
812.082,0.039779104
812.401,0.038970269
812.719,0.038076275
813.037,0.037506474
813.355,0.034820189
813.673,0.036009124
813.991,0.041531028
814.309,0.035811036
814.627,0.040767685
814.945,0.044496753
815.263,0.045742058
815.581,0.043737365
815.899,0.036061434
816.216,0.04577894
816.534,0.034397793
816.851,0.045558143
817.169,0.035199681
817.486,0.034768992
817.804,0.032999602
818.121,0.042368002
818.438,0.042592171
818.756,0.044155665
819.073,0.037782235
819.39,0.038264755
819.707,0.037825309
820.024,0.041402616
820.341,0.042410347
820.658,0.033299552
820.975,0.047134876
821.292,0.037148235
821.608,0.037923705
821.925,0.040114837
822.242,0.043278347
822.558,0.040518677
822.875,0.044236382
823.191,0.041754829
823.508,0.040151853
823.824,0.041326359
824.141,0.04541957
824.457,0.041968693
824.773,0.048551809
825.089,0.041007548
825.405,0.038109932
825.721,0.042023966
826.037,0.039662498
